case,stockid,name,onboard_date,type,industry,report_date,roe,gross_margin,growth_yearly_shift0,growth_yearly_shift1,growth_yearly_shift2,growth_season_shift0,growth_season_shift1,asset_liability_ratio,current_ratio,quick_ratio,rolling_net_profits,rolling_equity,gross_revenue_growth_std
1,600167,联美控股,19990128,沪市A股,公用事业,2019-09-30,0.22405029643277713,0.5052591783148878,0.4288967504130831,0.3188980777827448,3.0532246192174846,0.4397250562525044,0.3669216218439017,0.3556540079637615,2.817796907764701,2.613350189126007,159724.0,712893.5,0.6250953911716168
4,600276,恒瑞医药,20001018,沪市A股,医药生物,2019-09-30,0.23441755372010997,0.8717926474103057,0.23329537344933876,0.2500806699592664,0.1844539269864252,0.264193559310555,0.24121277580620276,0.1039461546819888,8.394264687519513,7.86145189486171,488858.0,2085415.5,0.050061822288371825
4,603288,海天味业,20140211,沪市A股,食品饮料,2019-09-30,0.3664337140531369,0.4451052146959921,0.23649857849966585,0.2421099281425753,0.13288811498109282,0.2249654437091589,0.22350733492527225,0.269011387489759,2.9923663698341136,2.8036778367494986,506872.0,1383257.0,0.02600455742332791
2,603369,今世缘,20140703,沪市A股,食品饮料,2019-09-30,0.21867898791510448,0.724702626997481,0.2852117001909825,0.18834443766092426,0.10395452081288188,0.2574740339865725,0.2525486074619023,0.19614643146348645,4.240592903413165,3.1107397068672253,141559.0,647337.0,0.08656113332246693
2,603393,新天然气,20160912,沪市A股,公用事业,2019-09-30,0.21551588567525914,0.5137170461143021,0.5936291240045506,0.2967151848937844,0.014770459081836327,2.768364723052332,2.1723431248170195,0.3446469966744977,4.613815181048588,4.57632496265206,47965.0,222559.0,0.45850428808902227
4,603517,绝味食品,20170317,沪市A股,食品饮料,2019-09-30,0.23371518606757652,0.34695211551774274,0.2680783462033462,0.3075992637391533,0.2642111561731268,0.2622957635222218,0.26178767717674284,0.30508878985774085,2.723073752264419,2.2534196795643644,76762.0,328442.5,0.03532156401753954
1,603583,捷昌驱动,20180921,沪市A股,电气设备,2019-09-30,0.1973706591289342,0.3863301891451429,0.6089849195285768,0.2228420889508756,0.2985209779655901,0.4081798822497808,0.4262714272184866,0.15254525243797662,5.139088334101838,4.400303010341875,31910.0,161675.5,0.11795674654931637
2,603605,珀莱雅,20171115,沪市A股,化工,2019-09-30,0.20008109125662488,0.6385125715109851,0.4274615269684745,0.30705637286811616,0.06866086956521739,0.28510802469135804,0.31173175665162595,0.30362261220112063,2.1804138851802404,1.8054739652870493,34543.0,172645.0,0.11398092508126066
1,603658,安图生物,20160901,沪市A股,医药生物,2019-09-30,0.33651560631573807,0.6663867809445351,0.2786808690431186,0.2857102012808783,0.25799374168255224,0.3125553772839388,0.299601593625498,0.3814783656342826,2.1620469825934485,1.7906568970122043,68947.0,204885.0,0.11183212951351354
1,000568,泸州老窖,19940509,深市A股,食品饮料,2019-09-30,0.26062834243828625,0.8106936542097605,0.3491325969823445,0.3345745499307586,0.2572869376805613,0.35434143848741645,0.3653985017806705,0.2983421356554376,3.055275114982695,2.4098092612744217,452989.0,1738065.0,0.024228127676493814
2,000596,古井贡酒,19960927,深市A股,食品饮料,2019-09-30,0.27695087512570726,0.7630527326987595,0.468837272090649,0.3938634866873648,0.18829480980463398,0.3819679889520765,0.392718255702176,0.3173730423403268,2.167735837823356,1.5574871749074708,218111.0,787544.0,0.07926008376149474
1,000661,长春高新,19961218,深市A股,医药生物,2019-09-30,0.2440819134749278,0.8593766647929135,0.5769773935166719,0.3703391833599244,0.2570473537604457,0.4399854333576111,0.272137903306865,0.308640702133376,2.2773764996197596,1.6879983859202583,140841.0,577023.5,0.1961157862196355
1,002127,南极电商,20070418,中小板,商业贸易,2019-09-30,0.27273359589180424,0.2918399649436946,0.6565784806108923,0.7673398006995314,0.7592151854646776,0.3372124011726037,0.32004921730808666,0.1156053970268499,5.979675235832072,5.969917908835603,103910.0,380994.5,1.979502372435899
3,002234,民和股份,20080516,中小板,农林牧渔,2019-09-30,0.9170457126371164,0.5835373974309405,2.3093787644123216,-2.8892645815722737,1.487402148765569,8.005178738401783,46.18305268875611,0.22041967273107485,2.47482966327639,1.6214476152858694,149395.0,162909.0,0.6336389054094675
2,002690,美亚光电,20120731,中小板,机械设备,2019-09-30,0.23949326999208234,0.5552168860609986,0.23235520810394186,0.18147521790035126,0.07065009227340785,0.25539568345323743,0.2197179774617972,0.14382370367538844,6.90825,6.414375,52934.0,221025.0,0.09138780340145546
2,002755,奥赛康,20150515,中小板,医药生物,2019-09-30,0.8762562262068384,0.927779710440053,37.75434530706837,2.752173913043478,-0.7560975609756098,44.51710730948678,35.865700483091786,0.36963045645024173,2.1031204100128127,1.9450529704053248,124640.0,142241.5,5.656689609307543
2,002832,比音勒芬,20161223,中小板,纺织服装,2019-09-30,0.23354953938710285,0.6800238782511447,0.621684607701698,0.35912518853695324,0.07638607029791379,0.510921269779633,0.4200898325847285,0.197089445469119,4.4507280016881205,2.8624416778035684,39752.0,170208.0,0.08300913160960366
3,300130,新国都,20101019,创业板,计算机,2019-09-30,0.1933513244988655,0.2678506750596376,2.447935492840261,-0.5015591435104982,0.6700613354935772,1.5445544554455446,1.4238851870835467,0.2525588020078955,2.05417269539201,1.7604041493979452,43203.0,223443.0,0.4858318756473274
4,300347,泰格医药,20120817,创业板,医药生物,2019-09-30,0.20568855236108682,0.4690152634170359,0.5257247794803865,1.1187013649700217,-0.09839553740870666,0.6868022678122625,0.6169303120991877,0.20774452021470646,2.8903623774520697,2.8897490822793253,68238.0,331754.0,0.05869107724042375
4,300357,我武生物,20140121,创业板,医药生物,2019-09-30,0.27049302603117775,0.9651,0.24588930682428806,0.44040247678018574,0.09658801561704294,0.28387881351451383,0.2381181450837021,0.052510933713678605,16.855034437520498,16.349130862577894,29012.0,107256.0,0.05398938727403772
2,300529,健帆生物,20160802,创业板,医药生物,2019-09-30,0.2878987741659035,0.8597300441689747,0.4095623132360696,0.4073322778547397,0.008381560566753142,0.36320214610527696,0.4537526804860615,0.13494894874142668,5.4259705905236135,5.094841671205166,51399.0,178531.5,0.11497344865437636
2,300559,佳发教育,20161101,创业板,计算机,2019-09-30,0.24920265760235902,0.5445172216272757,0.7060514965364004,0.2384266752994497,0.0729419937478291,1.0122379898450722,0.9242608343458891,0.18652393807880255,4.242233166106687,3.8800570718460894,20198.0,81050.5,0.5384496368272504
1,300595,欧普康视,20170117,创业板,医药生物,2019-09-30,0.25415547651883574,0.7999134002762943,0.4117369944141598,0.3046799543419089,0.28907753254103,0.3469597246543083,0.3156242453513644,0.11790910414763625,6.937856463878328,6.6170983840304185,28012.0,110216.0,0.10120191563521143
1,300628,亿联网络,20170317,创业板,通信,2019-09-30,0.31439838978009865,0.6569082297408707,0.4412566224885323,0.3665571798667653,0.7459009773039335,0.4810807552628803,0.4793728970595407,0.07553605145017557,12.735473687345504,12.073711171337527,117073.0,372371.5,0.1422373613905819
2,300653,正海生物,20170516,创业板,医药生物,2019-09-30,0.1876233687263202,0.9378477742448332,0.391600454029512,0.3562788651858368,0.07013414921157919,0.2219493476592479,0.27538769384692346,0.12550891478309698,7.839793281653748,7.554491564067487,10028.0,53447.5,0.04230149389842708
